Kapitel.Nummer,Identitet,Enhet,Artiklar,Mtrl-summa,Tim-summa,UE-summa,Beräknat pris (kr),Senast uppdaterad,Källa-wbr
15.023,Plastmattor v-täta på golv,m²,"Q3.7202000 2,0 plastmatta, v-tät (mtrl 0, tim 0, UE 920, åtgång 1, spill 1)
Q3.7203000 Uppvikt plastmatta, v-tät (mtrl 0, tim 0, UE 165, åtgång 1, spill 1)",0,0,1085,1194,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
15.027,Kakel på vägg,m²,"Q1.4323500 Kakelplattor, 150x150 färgade (mtrl 303, tim 0.8, UE 0, åtgång 1, spill 1.06)
Q1.4335000 Fuktskydd typ tätduk (mtrl 0, tim 0, UE 380, åtgång 1, spill 1)",321.18,0.8,380,1483,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
15.031,Plastmattor på vägg,m²,"Q5.7321000 1,0 väggplastmatta (mtrl 0, tim 0, UE 410, åtgång 1, spill 1)
P2.2247600 Spackling skivor 59-03500 (mtrl 0, tim 0, UE 74, åtgång 1, spill 1)",0,0,484,532,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
14.042,Ommålning inomhus våtrum,st,"P2.2542100 Våtrumsfärg 966-30512 VA (mtrl 0, tim 0, UE 153, åtgång 1, spill 1)",0,0,153,168,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
17.034,WC-duschinredning i lägenhet,st,"Y3.4024000 Toalettpappershållare (mtrl 196, tim 0.17, UE 0, åtgång 1, spill 1)
Y3.4011600 Handdukshängare, 5-krok (mtrl 78, tim 0.17, UE 0, åtgång 1, spill 1)
Y3.4027000 Tvålhållare (mtrl 131, tim 0.17, UE 0, åtgång 1, spill 1)
S4.5130600 Underskåp B=600 (mtrl 3444, tim 1, UE 0, åtgång 1, spill 1)
S4.5170300 Högskåp B=300 (mtrl 2366, tim 1.1, UE 0, åtgång 1, spill 1)
S4.5300600 Bänkskiva med urtag L=600 (mtrl 1140, tim 0.5, UE 0, åtgång 1, spill 1)
S4.5400600 Inbyggnadstvättställ 560x400 (mtrl 2956, tim 0.55, UE 0, åtgång 1, spill 1)
S4.5250050 Spegel med spotlights 600x834 (mtrl 5712, tim 0.55, UE 0, åtgång 1, spill 1)
X4.1022000 Duschvägg hörn 900x900 klarglas (mtrl 7158, tim 4, UE 0, åtgång 1, spill 1)",23181,8.21,0,30816,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
17.032,Badrumsinredning,st,"Y3.8006400 Badrumsskåp av trä + belys. B=650 (mtrl 5544, tim 0.8, UE 0, åtgång 1, spill 1)
Y3.4006100 Draghandtag, L=600 (mtrl 402, tim 0.22, UE 0, åtgång 1, spill 1)
Y3.4011600 Handdukshängare, 5-krok (mtrl 78, tim 0.17, UE 0, åtgång 1, spill 1)
Y3.4023000 Toalettborsthållare + borste (mtrl 250, tim 0.28, UE 0, åtgång 1, spill 1)
Y3.4024000 Toalettpappershållare (mtrl 196, tim 0.17, UE 0, åtgång 1, spill 1)
Y3.5002000 Torkställ över badkar (mtrl 860, tim 0.45, UE 0, åtgång 1, spill 1)",7330,2.09,0,9274,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
16.070,Våtrumsdörr 9x21 PP-laminerad,st,"S3.2174900 9x21 laminat våtrumsdörr (mtrl 11738, tim 1.25, UE 0, åtgång 1, spill 1)
H5.1731300 Foder, 12x43 vitmålad (mtrl 25.3, tim 0.1, UE 0, åtgång 10.6, spill 1.1)
S5.1105000 Badrumströskel av ek (mtrl 205, tim 0.11, UE 0, åtgång 1, spill 1)
S5.1114000 WC-behör (mtrl 385, tim 0.11, UE 0, åtgång 1, spill 1)
S5.1121000 Trycke av metall (mtrl 265, tim 0.11, UE 0, åtgång 1, spill 1)",12888,2.64,0,15343,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
15.022,Plastmattor på golv,m²,"Q3.7102000 2,0 plastmatta (mtrl 0, tim 0, UE 505, åtgång 1, spill 1)",0,0,505,556,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
17.030,Tvättplatsinredning med hygienskåp,st,"Y3.8007100 Hygienskåp, B=475 (mtrl 2411, tim 0.7, UE 0, åtgång 1, spill 1)
Y3.4017000 Papperskorg, väggmonterad (mtrl 127, tim 0.17, UE 0, åtgång 1, spill 1)
Q1.4324000 Kakelfrimärke, 750x450 vita (mtrl 70, tim 0.8, UE 0, åtgång 1, spill 1.05)",2611.5,1.67,0,4165,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
16.059,Toalettinnerdörr 9x21 målad,st,"S3.2100900 9x21 målad lättdörr (mtrl 1449, tim 0.85, UE 0, åtgång 1, spill 1)
H5.1731300 Foder, 12x43 vitmålad (mtrl 25.3, tim 0.1, UE 0, åtgång 10.6, spill 1.1)
S5.1105000 Badrumströskel av ek (mtrl 205, tim 0.11, UE 0, åtgång 1, spill 1)
S5.1114000 WC-behör (mtrl 385, tim 0.11, UE 0, åtgång 1, spill 1)
S5.1121000 Trycke av metall (mtrl 265, tim 0.11, UE 0, åtgång 1, spill 1)",2599,2.24,0,4682,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
